AW1,AW2,AW3
31.636,32.176,34.5
47.131,90.094,91.496
49.445,79.914,87.328
37.324,39.148,35.981
46.434,58.33,58.389
47.327,100.606,101.617
48.111,44.542,50.681
40.423,55.672,70.863
35.922,51.338,52.103
40.178,74.854,82.356
23.84,31.44,28.645
42.021,66.028,63.949
32.862,44.934,40.541
49.524,100.195,86.887
41.816,41.237,36.638
108.118,126.221,97.547
45.522,116.493,116.984
33.49,53.584,25.576
54.858,94.526,97.272
52.544,52.299,50.916
36.138,36.343,40.06
40.756,54.388,52.573
44.581,39.217,36.147
30.146,51.818,45.954
34.0,41.982,30.106
40.717,66.675,53.809
44.405,57.035,52.917
43.257,61.596,60.281
30.92,41.482,46.13
41.364,37.481,36.844
38.795,30.067,38.197
47.749,53.888,22.222
42.384,64.851,49.739
32.107,53.721,55.398
32.47,34.451,35.932
32.96,38.432,30.685
42.894,52.338,55.476
33.5,37.05,38.118
42.6,86.053,91.702
45.405,50.828,44.709
38.775,67.274,68.441
44.169,77.325,84.7
21.81,36.785,34.833
42.6,54.976,55.712
35.363,33.411,21.074
40.05,88.505,97.527
38.285,36.039,36.128
37.471,54.868,50.72
42.835,49.19,43.277
31.038,39.295,34.294
39.501,42.698,38.344
43.257,76.139,76.531
45.768,92.261,95.085
37.716,49.68,48.219
38.589,38.344,25.791
69.392,79.091,81.444
39.668,36.598,39.168
31.95,42.208,33.598
27.527,35.971,33.323
30.224,26.105,25.419
29.028,29.773,34.765
36.638,42.237,39.619
35.647,35.696,36.755
53.574,100.136,99.361
49.249,90.476,87.152
43.571,72.844,83.082
44.561,78.394,72.03
36.589,76.345,82.141
88.799,92.33,106.971
31.979,69.706,62.115
35.99,94.82,92.624
31.185,32.892,34.363
30.018,38.324,37.609
57.702,126.221,112.492
40.403,97.174,96.9
41.825,42.09,41.767
24.595,30.587,21.545
41.668,57.173,55.957
41.776,55.672,61.674
38.638,38.236,36.667
43.051,49.631,46.484
32.892,72.971,70.157
115.189,115.14,82.739
28.41,26.115,28.988
32.421,50.543,50.504
34.99,43.287,42.463
40.6,59.134,49.72
40.904,64.528,66.901
19.545,26.547,29.351
66.813,99.224,87.966
33.98,81.121,62.802
41.492,95.644,116.062
25.213,64.606,56.565
32.195,41.09,33.509
31.087,30.214,27.9
35.137,43.041,37.54
29.469,39.138,42.208
31.283,39.786,40.099
40.501,36.628,33.49
33.715,31.636,27.292
40.394,139.598,93.448
44.346,51.044,54.486
34.696,71.206,42.59
34.99,29.695,29.832
31.989,44.973,43.895
35.971,32.117,33.686
33.215,37.55,26.164
45.483,47.239,35.579
43.218,110.001,107.236
49.553,87.367,98.635
43.953,76.404,83.71
42.698,65.734,40.472
36.079,24.85,34.716
36.765,55.417,60.84
51.416,72.667,71.628
34.117,37.52,38.011
41.364,57.369,70.618
144.011,123.917,87.985
34.274,33.588,29.302
38.805,37.452,36.059
48.857,115.924,109.874
28.733,27.066,26.674
31.244,40.462,41.835
35.186,34.245,41.816
41.914,36.834,36.049
35.686,57.379,55.741
36.853,43.669,41.816
44.62,39.423,33.735
43.11,38.285,36.824
33.951,35.5,34.51
36.108,39.658,37.403
34.686,35.157,42.159
28.145,32.764,30.067
30.616,56.467,55.045
51.612,88.034,86.72
45.768,91.447,110.511
100.646,95.242,89.721
30.92,25.821,26.929
47.964,80.238,69.382
36.824,28.998,31.146
44.669,39.03,38.187
40.021,43.355,31.067
28.763,41.208,34.765
45.777,79.208,94.879
40.364,75.403,75.992
113.6,94.722,97.439
38.677,44.797,41.767
27.743,27.37,22.624
44.297,40.384,39.737
34.127,48.484,44.336
50.083,98.596,96.723
41.639,41.835,23.997
43.061,87.779,77.178
41.08,65.548,72.991
48.906,48.484,51.514
53.299,98.223,134.714
24.105,35.157,32.744
41.296,37.716,40.07
49.141,111.315,110.011
69.441,106.873,120.936
31.617,29.832,25.595
36.392,44.777,29.685
49.406,105.696,98.929
38.442,58.202,52.632
45.738,104.411,100.204
35.726,36.755,33.666
39.276,38.403,37.569
50.083,32.382,33.294
53.535,82.621,90.839
34.833,37.108,33.99
43.532,51.563,51.161
46.542,65.273,69.49
38.148,60.223,55.417
32.244,32.666,33.372
34.686,28.939,27.302
33.146,62.743,69.902
32.872,35.402,35.206
43.179,73.109,81.346
34.029,43.473,37.863
32.46,43.424,42.414
28.341,50.23,58.654
47.562,91.594,103.45
26.439,47.347,45.169
28.263,35.618,35.245
46.817,77.757,69.931
36.579,111.943,87.328
48.945,103.725,117.925
35.539,38.04,35.343
34.431,41.747,43.512
31.617,32.96,31.509
32.225,77.11,67.852
43.973,39.089,36.589
27.272,34.892,32.264
40.423,101.322,91.682
28.704,30.94,32.617
38.825,63.096,59.271
40.119,87.377,76.541
42.267,53.211,53.299
43.6,85.082,85.955
40.913,80.493,82.003
64.243,108.746,107.432
34.412,34.333,34.392
49.141,60.164,58.673
40.688,58.32,47.141
35.559,35.382,33.951
43.424,84.102,82.68
39.844,35.745,35.127
32.46,52.034,48.209
40.541,41.649,38.158
33.558,53.505,53.24
41.002,47.866,45.277
39.688,69.941,58.055
36.059,40.011,43.718
34.029,38.511,36.834
46.14,37.51,39.452
40.541,47.278,46.013
42.169,45.66,42.09
37.314,37.422,38.481
36.294,91.996,101.93
30.087,39.482,32.391
29.214,71.971,68.941
40.345,33.45,36.736
41.884,41.031,40.276
39.334,44.65,27.665
54.79,54.741,54.613
30.705,40.031,37.726
48.033,42.639,40.492
40.835,66.803,70.314
41.894,62.184,59.34
43.522,57.124,57.653
40.815,44.758,42.404
29.361,45.689,38.913
35.304,38.521,36.696
29.449,46.219,50.72
35.833,84.573,79.846
47.896,58.369,57.849
41.953,41.639,37.913
41.894,57.722,60.35
42.62,34.853,34.657
25.183,38.991,39.207
33.951,35.039,28.871
26.998,51.093,29.763
40.668,35.824,32.234
39.688,54.8,56.388
31.018,54.564,50.239
33.215,52.495,50.72
46.464,41.296,35.49
47.415,54.682,62.929
45.003,51.044,56.133
39.786,67.833,48.523
48.553,42.541,42.855
42.561,49.2,46.582
38.834,54.652,55.162
35.098,59.575,57.173
35.451,35.255,32.98
29.93,39.354,31.244
38.874,37.991,48.778
33.764,39.285,37.501
29.842,47.131,48.102
28.763,45.434,39.717
34.755,37.197,36.618
42.492,56.879,50.494
47.778,61.301,62.753
38.324,46.513,46.219
38.452,68.735,64.979
36.451,42.443,48.857
38.481,36.657,37.54
29.508,39.109,42.943
33.588,40.168,38.707
32.254,37.393,30.008
34.343,37.069,32.176
36.069,35.579,40.354
40.168,45.679,25.595
56.045,57.085,54.829
47.788,48.023,54.437
27.262,31.264,28.812
32.372,37.138,39.423
44.159,57.781,60.762
52.328,52.554,48.818
33.225,40.943,40.884
38.521,32.99,34.284
49.131,68.735,70.549
43.796,39.864,39.913
39.109,37.873,31.244
41.355,38.913,38.932
50.181,49.376,42.884
42.61,40.443,37.442
32.372,35.078,33.49
32.44,31.921,29.646
28.753,51.897,62.949
42.463,57.81,53.78
43.973,34.794,38.011
53.76,54.525,54.966
35.157,69.892,69.637
26.174,37.04,33.951
32.333,32.44,39.08
36.481,35.667,37.069
38.442,37.471,39.835
31.126,48.004,35.324
38.805,41.904,39.864
36.657,45.591,45.267
36.363,33.549,35.059
33.774,40.354,41.58
37.275,38.266,38.932
31.489,33.107,31.989
38.04,39.403,38.952
36.706,58.624,54.319
41.874,79.297,77.835
34.921,37.02,34.235
48.102,108.942,98.459
41.992,50.818,30.607
36.108,37.138,43.424
26.664,32.333,28.263
50.102,52.809,47.199
33.764,41.6,44.934
39.55,39.766,25.968
34.451,36.03,36.863
32.941,38.364,35.176
33.637,40.286,38.06
39.629,28.479,29.292
20.878,28.008,25.389
36.02,49.965,59.232
27.714,39.187,34.627
35.216,35.765,32.774
40.08,38.668,30.92
33.892,44.532,49.298
27.616,34.255,28.684
34.274,24.624,25.183
34.941,38.521,48.464
48.474,48.808,55.162
28.351,52.014,52.956
23.389,46.111,43.914
37.805,43.149,37.863
31.587,35.118,34.323
35.353,38.864,36.951
34.353,38.285,27.684
25.703,28.92,32.244
36.559,38.001,41.345
35.549,42.041,39.589
39.423,38.805,30.724
48.582,42.11,39.511
32.225,37.913,38.648
36.079,40.609,39.089
32.587,39.668,40.364
31.685,43.934,45.405
27.714,29.528,31.832
32.293,25.105,30.116
35.402,35.628,23.899
26.35,27.88,28.292
31.273,36.638,38.815
44.169,37.236,32.038
33.754,35.127,40.315
25.438,32.695,33.039
33.392,40.246,42.11
32.489,38.668,38.217
27.87,44.581,42.002
34.696,36.608,45.189
32.646,49.141,50.671
37.51,54.103,58.654
32.803,31.979,38.324
34.921,37.53,38.628
34.98,35.922,38.697
31.626,53.397,55.564
34.225,34.421,34.833
37.275,33.205,32.195
30.842,33.902,35.971
34.353,34.784,37.569
22.173,50.181,42.767
49.749,54.545,55.976
55.074,62.468,63.998
36.491,53.76,52.181
29.185,37.314,41.364
49.337,60.684,54.28
31.774,44.561,35.784
119.239,109.834,110.354
33.411,34.068,32.47
37.844,71.628,70.019
32.411,39.58,39.903
39.844,64.292,73.883
33.46,37.157,35.892
35.971,39.903,28.459
42.884,75.894,65.567
24.811,34.176,44.826
34.127,36.294,35.912
35.01,34.127,36.893
35.088,32.999,34.382
36.491,26.458,23.281
37.187,37.667,35.99
50.965,106.039,109.256
43.836,51.367,55.359
45.895,61.684,63.92
29.185,43.198,38.57
32.009,45.758,44.297
44.012,40.972,36.373
37.108,34.902,39.207
33.47,35.529,33.205
43.767,65.155,55.486
34.47,34.019,38.217
39.256,40.825,41.482
54.888,87.348,83.553
27.91,37.638,28.165
34.019,39.501,37.707
28.165,31.881,42.786
54.329,58.202,52.142
46.935,34.961,33.617
33.843,37.648,36.569
45.876,66.734,75.109
39.403,46.895,44.336
30.342,33.686,35.324
26.87,43.267,34.98
32.842,41.188,38.55
42.688,39.187,34.647
34.882,36.196,40.021
73.589,77.473,90.859
37.942,44.346,39.403
32.205,63.92,69.617
49.612,80.287,75.805
26.203,50.455,38.501
46.327,80.258,66.264
35.245,72.922,77.845
26.9,39.776,26.949
